Repository,Branch,In-Scope(YES)
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,felixhe_prudential.com.cn/sprequest.yml-1618976715253,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,felixhe_prudential.com.cn/sprequest.yml-1618988085205,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,felixhe_prudential.com.cn/sprequest.yml-1619756830923,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,felixhe_prudential.com.cn/sprequest.yml-1619756880881,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,felixhe_prudential.com.cn/sprequest.yml-1620100761638,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,felixhe_prudential.com.cn/sprequest.yml-1620100799075,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,felixhe_prudential.com.cn/sprequest.yml-1620122005349,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,felixhe_prudential.com.cn/sprequest.yml-1641898281433,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,felixhe_prudential.com.cn/sprequest.yml-1642470523519,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,felixhe_prudential.com.cn/sprequest.yml-1642739924886,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feristhia_prudential.co.id/sprequest-ADFSIT-020621,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feristhia_prudential.co.id/sprequest-SQLSIT-020621,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feristit-consultant_prudential.co.id/sprequest.yml-1622617591180,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,feristit-consultant_prudential.co.id/sprequest.yml-1622618059438,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,for_ifrs17_prod,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,forSPN_RLA,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,forSPN_RLA2,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,gavfsh-spn,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,gl9g52-CreateKey,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,gl9g52-ReadKey,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,gwb9j7,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,hklife-tag-update,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,hrpk_test_branch,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,husseinhm.mahdi_prudential.com.hk/sprequest.yml-1629193141312,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,idlife-nprd-uat-bx2urn-dynamicspn,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,idlife-nprd-uat-bx2urn-static-spn,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,ifrs17-spn-uat,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,ifrs17-spn-uat-add-group,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,ifrs17,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,io2yon,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,io2yon-rerun,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,iosbob,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,jacquelyncalisay_prudential.com.sg/sprequest.yml-1619170508148,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,jeffpangappinsight,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,jeffshpang_disablespn_queue_sit,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,jeffshpang_spndisablesbn_queue,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,karthik_dev_rel_03052021,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,karthik_dev_release_23052021,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,karthik_dev_01102020,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,karthik_prod_change,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,karthik_prod_rel_16042021_V2,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,karthik_prod_rel_16042021,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,karthik_prod_rel_19042021,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,karthik_uat_rel_16012020,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,karthik_uat_release_26072021,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,karthik_uat_release_27072021,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,karthikes_dev_110502021,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,karthikes_prudential.com.sg/sprequest.yml-1576824086687,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,karthikes_prudential.com.sg/sprequest.yml-1576824560240,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,karthikes_prudential.com.sg/sprequest.yml-1578645381569,
