Repository,Branch,In-Scope(YES)
pru-pacs/pacs-ftb-cs-sgfindex-producer-backend,release/new-aquasec,
pru-pacs/pacs-ftb-cs-sgfindex-producer-backend,release/sso,
pru-pacs/pacs-ftb-cs-myinfo,dev,
pru-pacs/pacs-ftb-cs-myinfo,feature/PACSCADS-1541,
pru-pacs/pacs-ftb-cs-myinfo,feature/PACSCADS-1603,
pru-pacs/pacs-ftb-cs-myinfo,feature/PACSCADS-2549-JAVA21,
pru-pacs/pacs-ftb-cs-myinfo,feature/PACSCADS-2705-PACSCADS-2731,
pru-pacs/pacs-ftb-cs-myinfo,feature/sre-test,
pru-pacs/pacs-ftb-cs-myinfo,master,YES
pru-pacs/pacs-ftb-cs-myinfo,release/PACSCADS-2601-testCIpipeline,
pru-pacs/pacs-ftb-cs-myinfo,release/dsoscan,YES
pru-pacs/pacs-ftb-cs-pulse-backend,ADLSDevConfiguration,
pru-pacs/pacs-ftb-cs-pulse-backend,ADLSPathChangeToUAT,
pru-pacs/pacs-ftb-cs-pulse-backend,CustomerLookUpByAgentCode,
pru-pacs/pacs-ftb-cs-pulse-backend,No-ticket-service-account-dependency-upgrade,
pru-pacs/pacs-ftb-cs-pulse-backend,PACSPS-1205-pruservices-pulse-backend-adls-issue-for-uat-environment-for-ppe-project,
pru-pacs/pacs-ftb-cs-pulse-backend,PACSPS-1248,
pru-pacs/pacs-ftb-cs-pulse-backend,PACSPS-1428,
pru-pacs/pacs-ftb-cs-pulse-backend,bugfix/PACSPS-768,
pru-pacs/pacs-ftb-cs-pulse-backend,configure-multiple-datasource,
pru-pacs/pacs-ftb-cs-pulse-backend,conflict/feature/PACSPA-1006,
pru-pacs/pacs-ftb-cs-pulse-backend,enablingAquaSec,
pru-pacs/pacs-ftb-cs-pulse-backend,feature/PACSCADS-2558-java21,
pru-pacs/pacs-ftb-cs-pulse-backend,feature/PACSCADS-2990-adls-connection,
pru-pacs/pacs-ftb-cs-pulse-backend,feature/PACSPA-1016-BACKUP,
pru-pacs/pacs-ftb-cs-pulse-backend,feature/PACSPA-1024,
pru-pacs/pacs-ftb-cs-pulse-backend,feature/PACSPA-1440,
pru-pacs/pacs-ftb-cs-pulse-backend,feature/PACSPA-1463,
pru-pacs/pacs-ftb-cs-pulse-backend,feature/PACSPAPS-182-BACKUP,
pru-pacs/pacs-ftb-cs-pulse-backend,feature/PACSPAPS-182,
pru-pacs/pacs-ftb-cs-pulse-backend,feature/PACSPAPS-2515,
pru-pacs/pacs-ftb-cs-pulse-backend,feature/PACSPS-653,
pru-pacs/pacs-ftb-cs-pulse-backend,feature/PACSPS-1015,
pru-pacs/pacs-ftb-cs-pulse-backend,feature/PACSPS-1105-1117,
